 "title" , "beschrijving" ,
 "Sorrento" , "Het patroon van deze lap gordijnstof vertoont een compositie met twee opvliegende meeuwen. De kleurstelling bestaat uit beige, zwart, bruin, oranje, mosgroen, middengroen, wit. Patroonnr.: 409/26612-502." ,
 "Schrijfkist met passietafereel" , "Deze schrijfkist of 'schrijflaey' met ijzeren handvaten is sober aan de buitenkant, maar binnenin versierd met fijn houtsnijwerk. Op de binnenzijde van de schrijfklep is de kruisiging van Christus afgebeeld. Rondom zijn de vier evangelisten als os, engel, leeuw en adelaar gesneden. In de bak zijn er onder meer krijgers rond fabeldieren en musicerende engelen afgebeeld. De iconografie, die ook bij laat-16de-eeuwse kantoren terug te vinden is, gaat hoogstwaarschijnlijk terug op gravures. Zie bijvoorbeeld de plooival in de gewaden van de figuren. In de fijne afbeelding is ook de datering van het object verborgen op een van de afgebeelde wimpels: het jaar 1519. De laatjes binnenin de bak zijn de voorloper van de zogenaamde 'secreten' of verborgen lades in kantoren. Er zijn resten van de authentieke lederen trekkers bewaard. Schrijfkisten zoals deze konden makkelijk worden verplaatst en meegenomen zoals een hedendaagse laptop. Vergelijkbare schrijfkisten zijn te vinden in de collecties van het Snijders & Rockoxhuis in Antwerpen en Museum Kunst & Geschiedenis in Brussel." ,
 "Vaas 53 met dahlia" , "Aardewerken vaas modelnummer 53, polychroom gedecoreerd met een dahlia en bloemknoppen tegen een crème-witte achtergrond. Glanzende glazuur." ,
 "Mokkakop van het servies 'How Much White'" , "Het witte porseleinen servies ‘How Much White’ maakt deel uit van de Tendentse-collectie van Alessi. In 1990 verwierf de designfirma de rechten op Tendentse, een experimenteel keramiekproject dat in 1985 was opgestart door Ettore Sottsass, Alessandro Mendini, Adolfo Natalini en Andrea Branzi. De ontwerpers deden onderzoek naar handgemaakte keramische voorwerpen en hun emotionele betekenis, als inspiratiebron voor industriële producten. De overname van Tendentse bood nieuwe mogelijkheden voor Alessi, die tot dan vooral gebruiksvoorwerpen in roestvrij staal, zilver en kunststof realiseerde. How Much White werd opgevolgd door de serviezen ‘How Many Stars’ en ‘How Many Colors’." ,
 "Lijster op lijsterbes" , "Houten lijst met daarin een schilderij in email op koper, voorstellende een lijster zittend op een lijsterbes. Tegen een lichtblauwe achtergrond is een lijster naturalistisch doch enigzins naïef weergegeven, die bovenop een tak van een lijsterbes vol rode vruchten zit. De achterzijde van het koperen paneel is volledig bedekt met een dikke laag donkerblauwe emailverf, waarop de signatuur en datering in witte verf zijn aangebracht.
Het schilderijtje is gesigneerd ""Verbrugge"" met een moeilijk leesbaar initiaal van de voornaam; mogelijk is het K of H. Verder is geschreven ""London"" en ""X.16"", alsook een kort onleesbaar opschrift.
Volgens de museuminventaris van 1923 betreft het ene H. Verbrugge uit Antwerpen.
Het museum bezit nog een tweede paneel van dezelfde kunstenaar (inv. 1644).
Het schilderijtje is deels in email cloisonné gemaakt. Rondom de bessen en de tak zijn duidelijk de opstaande randjes koper te zien. De lijster zelf is afgelijnd in cloisonné, terwijl het lichaam bestaat uit grotere niet-afgebakende partijen die in dégradé zijn ingekleurd. De achtergrond is niet onderverdeeld maar geheel in gevlekt blauw-wit email gemaakt." ,
 "Pianobank" , "We weten niet voor wie Henry van de Velde deze pianobank ontwierp. Zijn echtgenote Maria Sèthe gebruikte dit exemplaar eerst in hun appartement in de Cranachstrasse in Weimar en daarna in Hohe Pappeln, de woning die Van de Velde daar bouwde voor zijn gezin. De bank was oorspronkelijk wit en had een kussen. Ze was eerst te zien op een tentoonstelling in Düsseldorf in 1902. Er is minstens één ander exemplaar bekend, dat gemaakt werd voor het muzieksalon van Museum Folkwang in Hagen, dat vandaag Osthaus Museum Hagen heet. Van de Velde ontwierp het interieur van dit gebouw in opdracht van kunstmecenas Karl Ernst Osthaus, die zijn museum opende in datzelfde jaar." ,
 "Witje op lijsterbes" , "Houten lijst met daarin een schilderij in email op koper, voorstellende een tak van een lijsterbes en een witje. Tegen een effen oranje achtergrond is een tak van een lijsterbes naturalistisch doch enigzins naïef weergegeven, met een tros rode bessen en een takje met dorre bladeren. Op de bessen is een witje (vlinder) neergestreken. De achterzijde van het koperen paneel is volledig bedekt met een dikke laag donkerblauwe emailverf, waarop de signatuur en datering in witte verf zijn aangebracht.
Het schilderijtje is op de voorzijde gesigneerd met de initialen KV of HV. De achterzijde is gesigneerd ""Verbrugge"" met een moeilijk leesbaar initiaal van de voornaam; mogelijk is het K of H. Verder is geschreven ""London 1918 - [?]"" en ""Belgian"".
Volgens de museuminventaris van 1923 betreft het ene H. Verbrugge uit Antwerpen.
Het museum bezit nog een tweede paneel van dezelfde kunstenaar (inv. 1643).
Het schilderijtje is deels in email cloisonné gemaakt. Rondom de bessen, de takken en het witje zijn duidelijk de opstaande randjes koper te zien, die vroeger verguld waren. De achtergrond is niet onderverdeeld maar geheel in effen oranje email gemaakt." ,
 "Wastafel voor Villa Les Glycines" , "Aan het einde van zijn leven kreeg de Brusselse art-nouveau-architect Paul Hankar de opdracht om een buitenverblijf en atelier te ontwerpen voor de bevriende edelsmid Philippe Wolfers. Die had in 1899 samen met zijn broer Max en hun neef Albert een domein gekocht in Terhulpen waar ze elk een cottage lieten bouwen. Deze wastafel is vermoedelijk afkomstig uit Villa Les Glycerines, wat blauweregen betekent, maar het is niet duidelijk of de kast ook voor deze villa ontworpen werd. De wastafel werd vermoedelijk ontworpen door Émile Van Nooten, leerling en later medewerker van Paul Hankar. Van Nooten voltooide de binnenafwerking van de villa na Hankars dood. Deze toeschrijving is echter hypothetisch. Het spel van licht en donker hout en de gestileerde onderdelen zijn terugkerende elementen in ook de andere meubels van de villa, maar de slaapkamermeubels hebben een vloeiender lijnenspel in de vlakvullingen. Van hetzelfde slaapkamerensemble bewaart het museum twee kasten. Uit het rooksalon van de villa worden drie stoelen en een kruk in japonistische stijl bewaard." ,
 "Twee stoelen voor het rooksalon van Villa Les Glycines" , "Aan het einde van zijn leven kreeg de Brusselse art-nouveau-architect Paul Hankar de opdracht om een buitenverblijf en atelier te ontwerpen voor de bevriende edelsmid Philippe Wolfers. Die had in 1899 samen met zijn broer Max en hun neef Albert een domein gekocht in Terhulpen waar ze elk een cottage lieten bouwen. Het rooksalon van Villa Les Glycines, wat blauweregen betekent, ontwierp Hankar in een japonistische stijl. De gekruiste lederen stroken van de zitting en de rug van deze stoelen, de geprofileerde houtverbindingen en de combinatie van een donkere met een lichte houtsoort zijn oosterse elementen. Ook in de balustrades van de woning en in de tuin was die Japanse invloed merkbaar. Daarnaast was Hankar voor de opbouw van de meubels schatplichtig aan de Vlaamse neorenaissance van zijn leermeester Hendrik Beyaert en aan het rationalisme van de Franse architect Eugène Viollet-Le-Duc. Het museum bewaart ook nog een derde stoel, een kruk en een tafel uit hetzelfde rooksalon." ,
 "Nachttafel voor Villa Les Glycines" , "Aan het einde van zijn leven kreeg de Brusselse art-nouveau-architect Paul Hankar de opdracht om een buitenverblijf en atelier te ontwerpen voor de bevriende edelsmid Philippe Wolfers. Die had in 1899 samen met zijn broer Max en hun neef Albert een domein gekocht in Terhulpen waar ze elk een cottage lieten bouwen. Deze nachttafel is afkomstig uit Villa Les Glycerines, wat blauweregen betekent. Het spel van licht en donker hout en de gestileerde onderdelen zijn terugkerende elementen in ook de andere meubels van de villa. Het beslag en de opengewerkte panelen met vloeiende lijnen wijzen naar de art-nouveaustijl." ,
 "Stoel met waterlelies" , "Louis Majorelle nam in 1879 de meubel- en keramiekzaak van zijn vader over. Hij werd door Emile Gallé, waarmee hij samen de 'École de Nancy' samenbracht in 1901, beïnvloed om in de nieuwe florale art-nouveau-stijl verder te werken. Deze stoel is versierd met vergulde waterlelies, een motief dat vaak terugkomt in zijn oeuvre vanaf de Wereldtentoonstelling van 1900 in Parijs. Een gelijkaardige stoel (met een andere zitting) is terug te vinden in de collectie van de Koninklijke Musea voor Schone Kunsten in Brussel." ,
 "Buffetkast uit Woning Ciamberlani" , "Deze buffetkast werd door de Brusselse art-nouveau-architect Paul Hankar ontworpen voor de woning van de kunstschilder Albert Ciamberlani en diens moeder. Hankar ontwierp niet enkel de woning, maar ook het interieur en de meubels. De kast stond opgesteld in de eetkamer, waarvan de tafel in Musée d'Orsay in Parijs wordt bewaard. De meubels waren met het woonvertrek vervlochten: zo werd er gebruik gemaakt van dezelfde materialen en komt bijvoorbeeld de verdeling van de lambrisering terug in de panelen aan de zijkant van de kast. Hoewel ook de invloed van de neorenaissance groot is in het interieur, wijzen de gebogen lijnen in het koperen oplegwerk en in de bekroning van de kast naar de art-nouveaustijl." ,
 "Vitrinekast voor Thyl van de Velde" , "Deze vitrinekast maakt deel uit van een meubelensemble met zeven armstoelen, een tafel, een salontafel, twee buffetkasten en een boekenkast. Henry van de Velde ontwierp dit ensemble eind 1929 voor zijn zoon Thyl ter gelegenheid van zijn huwelijk met Leentje Teirlinck, de jongste dochter van schrijver Herman Teirlinck. Van de Velde was enkele jaren eerder na een lang verblijf in Duitsland  teruggekeerd naar België. Hij werd directeur van het Hoger Instituut voor Decoratieve Kunsten in Brussel (vandaag ENSAV La Cambre) en zou weldra de opdracht krijgen voor de bouw van de Gentse Boekentoren. Mogelijk zijn deze meubels een variatie op een eerder ontwerp. Ze ogen sober en zijn gemaakt door de firma De Cunsel uit Molenbeek, waar zowel Herman Teirlinck als diens andere schoonzoon en avant-gardekunstenaar Karel Maes een tijd aan het hoofd stonden." ,
 "Soepbord van het servies 'How Much White'" , "Het witte porseleinen servies ‘How Much White’ maakt deel uit van de Tendentse-collectie van Alessi. In 1990 verwierf de designfirma de rechten op Tendentse, een experimenteel keramiekproject dat in 1985 was opgestart door Ettore Sottsass, Alessandro Mendini, Adolfo Natalini en Andrea Branzi. De ontwerpers deden onderzoek naar handgemaakte keramische voorwerpen en hun emotionele betekenis, als inspiratiebron voor industriële producten. De overname van Tendentse bood nieuwe mogelijkheden voor Alessi, die tot dan vooral gebruiksvoorwerpen in roestvrij staal, zilver en kunststof realiseerde. How Much White werd opgevolgd door de serviezen ‘How Many Stars’ en ‘How Many Colors’." ,
 "Schoteltje van het servies 'How Many Stars'" , "Het porseleinen servies ‘How Many Stars' met blauwe sterren en goudkleurige randen is een gedecoreerde versie van het witte servies 'How Much White'. Beide serviezen maken deel uit van de Tendentse-collectie van Alessi. In 1990 verwierf de designfirma de rechten op Tendentse, een experimenteel keramiekproject dat in 1985 was opgestart door Ettore Sottsass, Alessandro Mendini, Adolfo Natalini en Andrea Branzi. De ontwerpers deden onderzoek naar handgemaakte keramische voorwerpen en hun emotionele betekenis, als inspiratiebron voor industriële producten. De overname van Tendentse bood nieuwe mogelijkheden voor Alessi, die tot dan vooral gebruiksvoorwerpen in roestvrij staal, zilver en kunststof realiseerde." ,
 "How Much White" , "Het witte porseleinen servies ‘How Much White’ maakt deel uit van de Tendentse-collectie van Alessi. In 1990 verwierf de designfirma de rechten op Tendentse, een experimenteel keramiekproject dat in 1985 was opgestart door Ettore Sottsass, Alessandro Mendini, Adolfo Natalini en Andrea Branzi. De ontwerpers deden onderzoek naar handgemaakte keramische voorwerpen en hun emotionele betekenis, als inspiratiebron voor industriële producten. De overname van Tendentse bood nieuwe mogelijkheden voor Alessi, die tot dan vooral gebruiksvoorwerpen in roestvrij staal, zilver en kunststof realiseerde. How Much White werd opgevolgd door de serviezen ‘How Many Stars’ en ‘How Many Colors’." ,
 "Theepot van het servies 'How Many Stars'" , "Het porseleinen servies ‘How Many Stars' met blauwe sterren en goudkleurige randen is een gedecoreerde versie van het witte servies 'How Much White'. Beide serviezen maken deel uit van de Tendentse-collectie van Alessi. In 1990 verwierf de designfirma de rechten op Tendentse, een experimenteel keramiekproject dat in 1985 was opgestart door Ettore Sottsass, Alessandro Mendini, Adolfo Natalini en Andrea Branzi. De ontwerpers deden onderzoek naar handgemaakte keramische voorwerpen en hun emotionele betekenis, als inspiratiebron voor industriële producten. De overname van Tendentse bood nieuwe mogelijkheden voor Alessi, die tot dan vooral gebruiksvoorwerpen in roestvrij staal, zilver en kunststof realiseerde." ,
 "Glasraamwand voor Woning Tackels-Plevoets" , "Dit ensemble van zes glas-in-loodramen maakte deel uit van de oosters geïnspireerde veranda van het herenhuis van de ijzerkoopman Domien Tackels-Plevoets aan de Leopold II-laan in Gent. Ze zijn toegeschreven aan Constant Montald, die voor dit totaalkunstwerk onder andere ook de glasramen van het plafond, vier wandschilderijen op doek, een schoorsteenmantel, een spiegel en een kachel ontwierp. De glas-in-loodramen, die de scheidingswand met de tuin vormden, verenigen florale en geometrische varianten van de art nouveau. Ze tonen elk een compositie van geometrische vlakken in groene en gele tinten. De vier grote panelen zijn versierd met florale motieven en Japanse kalligrafie. De twee buitenste, kleinere panelen bleven volledig abstract en doen al denken aan de strakke, geometrische creaties van Huib Hoste en de Nederlandse groep ‘De Stijl’. De opvallend moderne uitstraling doet vermoeden dat de glasraamwand van latere datum is dan de plafondglasramen en de wanddecoratie op doek, die gesigneerd en gedateerd is in 1889.
" ,
 "Glas-in-loodraam voor Woning Tackels-Plevoets" , "Dit ensemble van zes glas-in-loodramen maakte deel uit van de oosters geïnspireerde veranda van het herenhuis van de ijzerkoopman Domien Tackels-Plevoets aan de Leopold II-laan in Gent. Ze zijn toegeschreven aan Constant Montald, die voor dit totaalkunstwerk onder andere ook de glasramen van het plafond, vier wandschilderijen op doek, een schoorsteenmantel, een spiegel en een kachel ontwierp. De glas-in-loodramen, die de scheidingswand met de tuin vormden, verenigen florale en geometrische varianten van de art nouveau. Ze tonen elk een compositie van geometrische vlakken in groene en gele tinten. De vier grote panelen zijn versierd met florale motieven en Japanse kalligrafie. De twee buitenste, kleinere panelen bleven volledig abstract en doen al denken aan de strakke, geometrische creaties van Huib Hoste en de Nederlandse groep ‘De Stijl’. De opvallend moderne uitstraling doet vermoeden dat de glasraamwand van latere datum is dan de plafondglasramen en de wanddecoratie op doek, die gesigneerd en gedateerd is in 1889." ,
