 "title" , "beschrijving" ,
 "Jigger of verfmachine voor textiel" , "Rond 1904-1905 ontwikkelt Carl Gruschwitz uit het Duitse Zittau een machine om weefsels of stoffen te verven.  Ze heeft bovenaan een linkse en rechtse wals. Onderaan bevindt zich een verfbad met kleurstof. De te verven stof wordt onder spanning afwisselend van de linkse naar de rechtse wals gewikkeld. Bij iedere beurt loopt de stof door het verfbad, tot de kleurstof is uitgeput. De jigger is efficiënt maar veroorzaakt een groot volume aan afvalwater." ,
 "Gland of kwast met vorm, keel en rok" , "Kwast bestaande uit kabel, turkse knoop, chardon bouclé, olijf gesatineerd met tros. Keel: chardon bouclé. Rok: torse moulinée versierd met jasminen. Kleur: paars en goud." ,
 "Slagmachine van het merk Platt" , "Slagmachine van de Engelse fabrikant Platt Brothers & Co. In de katoenspinnerij worden de balen ruwe katoen eerst geopend en gereinigd door de baalbreker en opener. Vanuit de automatische voeder gaan de katoenvlokken naar de slagmachine. Die is uitgerust met een klopper die de vezels nog verder opent en zuivert. De machine bevat tevens een oproltoestel om de katoenmassa onder de vorm van een samengeperste laprol van een welbepaalde lengte af te leveren." ,
 "Vlakke embrasse om gordijn open te houden" , "Embrasse crête en forme. Uiteinden met lus. Kleur: roze en beige." ,
 "Gland of kwast met 4 vormen, keel en rok" , "Kwast bestaande uit korte kabel, bol gerold met guipure, trommel gerold, bol gerold met passé en croix. Keel: gesatineerde rol met rozetten. Rok: torse moulinée met draden en versierd met jasminen (vormpjes en moulinets). Kleur: beige, roze en groen." ,
 "Regelzetmachine van het merk Ludlow" , "Machine van het merk Ludlow Tyopgraph Company voor het gieten van tekst in loden regels. Speciaal geschikt voor het zetten van grote corpsen voor bijvoorbeeld titels en krantenkoppen." ,
 "Embrasse om gordijn open te houden met 2 kwasten" , "Embrasse bestaande uit kabel met sierknoop, twee kwasten: zogenaamde glands mèches. Kleur: groen en beige." ,
 "Tussenspilbank van het merk Platt" , "Tussenspilbank of middenspilbank van de Engelse fabrikant Platt Brothers & Co. De tussenspilbank is na de grove spilbank de tweede voorspinmachine in de katoenspinnerij. De wieken, dikke onregelmatige draden, worden op de tussenspilbank verder verfijnd. Twee grove wieken worden samen uitgerekt en getorst tot één fijnere wiek." ,
 "Gland of kwast met 2 vormen, keel en rok" , "Kwast bestaande uit galon, chardon bouclé, bol gesatineerd, chardon bouclé, bol gesatineerd met roulé-barré. Keel: chardon bouclé. Rok: bouclée. Kleur: blauw, roze en groen." ,
 "Embrasse om gordijn open te houden met 2 kwasten" , "Embrasse bestaande uit kabel met schuifring, twee kwasten: chardon bouclé, flèche gerold met tros. Keel: chardon bouclé. Rok: torse moulinée. Kleur: beige en varia aan pasteltinten." ,
 "Embrasse om gordijn open te houden met 2 kwasten" , "Embrasse bestaande uit kabel met schuifring, twee kwasten (één ontbreekt, enkel aanzet), bol gesatineerd met tros, rol roulé-barré, bol gerold met passé en croix. Keel: met knoopwerk. Rok: torse guipée met draden. Kleur: goudbruin." ,
 "Embrasse om gordijn open te houden met 2 kwasten" , "Embrasse bestaande uit kabel met schuifring, kwasten: chardon bouclé, bol gesatineerd met roulé-barré. Keel: chardon bouclé. Rok: torse moulinée met draden. Kleur: roze en beige." ,
 "Embrasse om gordijn open te houden met 2 kwasten" , "Embrasse bestaande uit gevlochten galon met schuifring, twee kwasten: chardon bouclé, klok gerold met tros. Keel: chardon bouclé. Rok: torse moulinée. Kleur: roze en beige." ,
 "Embrasse om gordijn open te houden met 2 kwasten" , "Embrasse bestaande uit kabel met schuifring, twee kwasten: chardon bouclé, radijs gesatineerd met roulé-barré. Keel: chardon bouclé. Rok: torse moulinée. Kleur: beige en blauw." ,
 "Verfkeuken met twee mengpotten van het merk Deck" , "De kleurstoffen voor de verfmachines worden voorbereid in de verfkeuken. De verschillende producten, worden er volgens een welbepaalde receptuur afgewogen en in ketels gemengd. Hoewel de functie in deze industriële omgeving primeert is er bij deze machine van  A. Deck uit het Franse Mulhouse ook enige aandacht voor esthetiek. De watertoevoer boven de twee mengketels heeft de vorm van een zwanenhals met uitgewerkte zwanenkop." ,
 "Monture de lustre" , "Montuur voor luchter, bestaande uit vier lange kabels en tulp, koepel gesatineerd waarrond chardon bouclée en zes tulpblaadjes in feuilles bourriche. Kleur: zilver." ,
