 "title" , "beschrijving" ,
 "Erepenning van de Brusselse verenigingen aan Prins Albert, 1909" , "Een gedrapeerde en gekroonde vrouw stapt opd e voorzijde naar rechts met een bloemenkrans in haar vooruitgestoken rechterhand en een wapperende vlag in haar linkerhand : rechts van de vrouw, I6 AOUT / I909 en links van de vrouw verdiept, CH SAMUEL
Op de keerzijde staat in de bovenste helft langs beide zijden tropische bomen en rechts bovenaan een stralende ster ; op de onderste helft, LES SOCIETES / BRUXELLOISES / A. S.A.R. MOR / LE PRINCE ALBERT / DE / BELGIQUE

In de zomer van 1909 bracht de Belgische kroonprins Albert voor de eerste maal een bezoek aan Kongo, de nieuwe Belgische kolonie, door Leopold II aan het land geschonken.
Bij zijn terugkeer werd door de Brusselse verenigingen op 16 augustus een manifestatie opgezet. Als aandenken aan deze viering werd een bronzen gedenkpenning uitgegeven van de hand van Charles Samuel. Naast de grote module (± 65 mm) werd deze verkleining ervan als hangertje op niet minder dan ongeveer 23.000 exemplaren geproduceerd.
Samuel stelt op de keerzijde een Kongolees landschap voor met de stralende ster." ,
 "Prijspenning Schieting Garde Civique te Gent, 1905" , "Binnen een cirkel op de voorzijde staat een vrouw naar links met in haar vooruitgestoken handen rechts een palmtak en links een laurierkrans ; rond de cirkel Art-Nouveau versieringen met bladeren, vruchten en uitsnijdingen ; onderaan rechts verdiept het monogram van Paul Fisch (omgekeerde P en F).
Binnen een cirkel staat rondom bovenaan, GARDE • CIVIQUE • GAND , onderaan, PRIX D’ HONNEUR , in het veld, REG• INF• / versiering / I 9 0 5 / versiering ; rond de cirkel Art-Nouveau versieringen met bladeren, vruchten en uitsnijdingen ; onderaan verdiept een zilverstempel met het monogram van Paul Fisch en AR met ernaast, PAUL FISCH en rechts nog eens het monogram." ,
 "Gedenkpenning bisschop L.J. Delebecque, 1864" , "Op de voorzijde staat de buste naar links van Delebecque met bisschopshoed en met onder de buste, CH, BAES, F ; langs de geprofileerde rand , links, LOUIS ° JOSEPH en rechts, DELEBECQUE ; in een tweede rij, links, XXIME EVÊQUE en rechts,  DE GAND
Op de keerzijde is de test cirkelvormig aangebracht, deels bovenaan en deels onderaan, SOUVENIR PIEUX / NÉ A WARNETON EN I798 MORT A GAND EN I864 / + DOCTEUR EN THÉOLOGIE  / OFFICIER DE L’ ORDRE LÉOPOLD / RÉGULIERS-CONSULTEUR DE LA S. CONGRÉGATION DES EVÊQUES / DOMESTIQUE DE SA SAINTETÉ / ASSISTANT AU TRÔNE PONTIFICAL / COMTE ROMAIN ; rondom is een geprofileerde rand.

Lodewijk-Jozef Delebecque werd geboren op 7 december 1796 en overleed te Gent op 2 oktober 1864. Hij studeerde aan het seminarie van Gent en werd in 1822 tot priester gewijd te Mechelen.
In 1830 werd hij leraar aan het kleinseminarie van Gent en in 1831 professor aan het grootseminarie van Brugge.
Hij was de 21ste bisschop van het bisdom Gent van 1838 tot zijn overlijden in 1864.
Delebecque stichtte in 1839de congregatie van de Hiëronymieten.
Na zijn overlijden werd deze gedenkpenning aan hem opgedragen." ,
 "Prijspenning aan de verst komende maatschappij, boogschieting te Namur, 1846" , "Twee zilveren, gemarteleerde plaatjes zijn samen gezet in een vergulde holle ring.
Op het eerste plaatje staat het gekroonde Belgische wapenschild gehouden door twee staande leeuwen met rondom bovenaan, SOCIETE DES AMIS REUNIES en onderaan, *  NAMUR  *
De andere zijde toont een gekroonde arend in vooraanzicht die een pijl in zijn bek heeft en in zijn poten een boog en een koker met pijlen ; onderaan links een lauriertak en rechts een eikentak, beide onderaan samen gestrikt en met bovenaan op een banderol, A LA SOCIÉTÉ LA PLUS ELOIGNÉE 1846
De draagring bovenaan is bevestigd met een scharniersysteem gehouden door twee ineengestrengelde handen, de plaatjes zijn gescheiden van de rand door een gedraaide cirkel." ,
 "Huwelijkspenning van Napoleon en Marie-Louise van Oostenrijk, 1810" , "Op de voorzijde staan de gekoppelde hoofden naar rechts van de gelauwerde Napoleon, vooraan, en Marie-Louise van Oostenrijk, getooid met een diadeem, achteraan met op de afsnede van de hals van Napoleon, ANDRIEU F • en onder de hals, DENON D. ; rondom is een geprofileerde rand.
Op de keerzijde staat Napoleon, links, en Marie-Louise, rechts, in vooraanzicht ; zij staat lichtjes naar links en houdt met haar rechterhand de rechterhand van Napoleon en met links van hen een altaar versierd met boog, koker met pijlen en fakkel, waarop de  eeuwige vlam brand ; op de sokkel ervan, J. JOUANNIN F. en onderaan in de afsnede, I • AVRIL • M DCCCX / DENON.D. (volgt de rand) en met rondom een geprofileerde rand.

De voorzijde van deze huwelijkspenning werd door Bertrand Andrieu uitgebracht in vier afmetingen waarvan dit de grootste is.
Ter gelegenheid van het huwelijk van Napoleon met Marie-Louise van Oostenrijk te Wenen op 11 maart 1810, werden verscheidene penningen uitgebracht. Bovenstaand exemplaar werd gegraveerd door Jouannin bij de intrede van de vorstin in Frankrijk op 1 april 1810." ,
 "Prijspenning van de tentoonstelling van de Maatschappij ter bevordering van Nijverheid en Wetenschappen, 1892" , "Centraal op de voorzijde een borstbeeld van een vrouw, omgeven door stralen met rondom het beeld van links naar rechts een wereldbol, tandwiel met winkelhaak, een passer met hamer en een schenkkan met op een banderol VOORUIT ; rondom tussen een parelcirkel en een geprofileerde rand, bovenaan, MAATSCHAPPIJ TER BEVORDERING VAN NIJVERHEID EN WETENSCHAPPEN, onderaan, * GENT *
Op de keerzijde is binnen een open krans van twee lauriertakken, onderaan gestrikt, gegraveerd, rondom bovenaan, TENTOONSTELLING in het midden een bloemetje en onderaan, I892 en met rondom een geprofileerde rand.

De Maatschappij ter bevordering van Nijverheid en Wetenschappen ontstond in 1864 en had afdelingen architectuur, machinebouw, decoratie, literatuur, theater, zang en muziek. Een harmonie werd gesticht in 1888. Ook een spaarkas, een bijstandskas, een bibliotheek met leeszaal en een industrieel kabinet werden opgericht.
Vanaf 1870 richtte de maatschappij jaarlijks tijdens de Gentse Feesten een tentoonstelling en wedstrijden in. Voor de wedstrijden werd telkens voor een aantal disciplines een onderwerp opgegeven dat moest uitgewerkt worden. De vereniging beschikte over eigen penningen om de laureaten te bekronen, ze bestonden in verguld zilver, zilver en brons en werden op de keerzijde gegraveerd met de naam van de begunstigde, het jaartal en de discipline waarin ze was gewonnen. Ook de deelnemers aan de tentoonstelling werden bekroond met dezelfde penningen maar op de keerzijde kwam meestal enkel de vermelding “tentoonstelling” en het jaartal maar sommige exemplaren vermelden eveneens de naam van de laureaat en de aard van het bekroonde object." ,
 "Prijspenning verbetering paardenras Oost-Vlaanderen, 1879" , "Het hoofd van koning Leopold II staat op de voorzijde naar links met langs de geprofileerde rand, links, LEOPOLD II KONING en rechts, DER BELGEN en onder de hals, HART
Op de keezijde staat binnen een gesloten krans van bloemen en vruchten, rondom bovenaan, VERBETERING VAN HET PAERDENRAS en onderaan, * OOST-VLAENDEREN * ; in het midden ingeslagen, 1879 en rondom een geprofileerde rand.

Het Spanjaardenkasteel gebouwd door Keizer Karel in 1540 werd vanaf 1827 geleidelijk afgebroken. In 1855 werden de laatste resten afgebroken om een plein te vormen waar manoevers werden gehouden. Ook het goederenspoor werd erover geleid. Het plein deed tevens dienst als executieplaats voor doodstraffen, de laatste op 22 mei 1861.
Vanaf 1857, datum van oprichting van een slachthuis op deze plaats ontstond een nieuwe wijk er rond. Ook een parochiekerk (Sint-Macharius) werd er gebouwd.
Vanaf dan werden jaarlijks veewedstrijden gehouden voor diverse dieren zoals runderen, paarden, varkens, schapen, konijnen en pluimvee. Ze waren echter alleen toegankelijk voor kwekers uit Oost-Vlaanderen. Aanvankelijk werden medailles uitgereikt door het Provinciebestuur van Oost-Vlaanderen, later zal dit overgenomen worden door de in 1898 opgerichte maatschappij De Breidelszonen (zie N.344).
Het Provinciebestuur bestelde aangepaste prijspenningen bij de firma Hart, die zelf een medailleatelier uitbaatte in de Koningsgalerij te Brussel. Men kocht een groter aantal penningen als nodig voor één jaar, om de prijs te drukken, waardoor men het betreffende jaartal op de keerzijde achteraf moest laten inslaan (zie ook N.499)." ,
 "Gedenkpenning 60ste verjaring van de stichting van de middelbare school, 1912" , "Een vrouw met lang gewaad staat op de voorzijde in vooraanzicht vóór een bibliotheek en kijkt naar een naakte jongen die voor haar naar rechts staat te lezen in een boek dat op een lessenaar ligt ; voor de lessenaar staat een stoel en liggen boeken op de grond en rondom is een verhoogde rand.
Op de keerzijde is links van onder naar boven een palmtak met onderaan een strik met rechts ervan, SOUVENIR (gebogen) / LXE ANNIVERSAIRE / FONDATION / ÉCOLE MOYENNE / 9 – 10 MARS / 1912 en rondom een verhoogde rand." ,
 "Gedenkpenning aan een vaart met de grote ballon van H. Giffard, 1878" , "Een panorama van de stad Parijs staat op de voorzijde met erboven een grote luchtballon hangend aan een koord tot op een plein ; onderaan op de afsnede, PANORAMA DE PARIS / 1878 en op de rand van de afbeelding met de afsnede, verdiept, C. TROTIN en rondom een geprofileerde rand.
De keerzijde heeft de tekst, SOUVENIR / DE MON ASCENSION / DANS / LE GRAND BALLON CAPTIF / A VAPEUR / DE MR HENRY GIFFARD en onderaan is een lege afsnede en rondom een geprofileerde rand.

Henry Giffard werd geboren te Parijs op 8 februari 1825 en kwam als tekenaar in dienst van de Franse spoorwegen. Daar kreeg hij de smaak voor de mechaniek te pakken en was vooral geboeid door de techniek van de luchtballons die hij wou aandrijven met een stoommachine. Op 24 september 1852 poogde hij reeds een stoomballon boven Parijs op te laten maar door de grote wind mislukte de poging. Een eerste succes boekte hij op de Wereldtentoonstelling te Parijs in 1867 waar hij een ballon boven de Champ de Mars opliet. Een tweede maal slaagde hij erin een dertigtal passagiers te laten meevliegen op de Wereldtentoonstelling te Londen in 1868 maar na enkele dagen brak de kabel.
Bij de Wereldtentoonstelling te Parijs in 1878 was zijn toestel zodanig aangepast dat het meer zekerheid bood. Op 24 juli 1878 begon een reeks van 1.033 vluchten waarbij, tot 4 november, in totaal 35.000 passagiers meevlogen.
Nadien werd de ballon verkocht aan de gebroeders Godard die de vluchten hervatten in juli 1879 maar het luchtschip werd op 16 augustus verwoest door een onweer, gelukkig zonder slachtoffers te maken.
Als aandenken van zijn vlucht met de luchtballon kon de bezoeker deze penning aanschaffen. Tegen extra betaling kon men zijn naam op de afsnede laten ingraveren.
Deze souvenirpenning bestaat ook in een kleinere versie (zie N.767)." ,
 "Prijspenning schieting Moerbeke aan de verst komende maatschappij, 1855" , "Een dun plaatje zonder ring is als volgt ingegraveerd :
Op een zijde staat en gekruiste pijl en boog, samengebonden met een lint, en met erboven een lauwerkrans en met rondom onderaan, MOERBEKE 26 AUGUSTUS 1855
De andere zijde heeft de tekst AEN DE / verst afgelegene / MAETSCHAPPY . ; rechts langs de rand is een dolkje ingeslagen.

Het was in de negentiende eeuw de gewoonte dat iedere maatschappij jaarlijks een grote prijsschieting organiseerde. De uitgeloofde prijzen konden bestaan uit allerlei gebruiksvoorwerpen, bestekken, serviezen enz., daarnaast werden ook medailles gegeven die door de plaatselijke zilversmid werden vervaardigd. Ze waren voorzien voor de laureaten van de schieting maar ook voor de maatschappij met het meeste getal schutters, deze die van het vest was gekomen en soms ook aan de vereniging met de mooiste klederdracht.
Van dezelfde schieting is ook de prijspenning voor het meeste getal schutters in de verzameling aanwezig maar deze is gevat in een holle ring met draagoog (N.748)." ,
