"""  title""  ";" "" beschrijving"" "
"""  Gent: Sleepstraat, bouwaanvraag van Adriaen Duremont, 1766""  ";" "" Bouwheer: Duremont, Adriaen."" "
"""  Gent: Sleepstraat, bouwaanvraag van Bernardus Liedts, 1766""  ";" "" Bouwheer: Liedts, Bernardus."" "
"""  Gent: Sleepstraat, bouwaanvraag van Norbertus Aelman, 1757""  ";" "" Bouwheer: Aelman, Norbertus."" "
"""  Gent: Sleepstraat, bouwaanvraag van Pieter Thomas, 1758""  ";" "" Bouwheer: Thomas, Pieter."" "
"""  Gent: Sleepstraat, bouwaanvraag van Martinus vanden Berghe, 1754""  ";" "" Bouwheer: vanden Berghe, Martinus."" "
"""  Gent: Sleepstraat, bouwaanvraag van Martinus vanden Berghe, 1756""  ";" "" Bouwheer: vanden Berghe, Martinus."" "
"""  Gent: Sleepstraat, bouwaanvraag van Franchois Coene, 1744""  ";" "" Bouwheer: Coene, Franchois."" "
"""  Gent: Sleepstraat, bouwaanvraag van Thomas Buyck, 1745""  ";" "" Bouwheer: Buyck, Thomas."" "
"""  Gent: Sleepstraat, bouwaanvraag van Guillaume Blauwers, 1751""  ";" "" Bouwheer: Blauwers, Guillaume."" "
"""  Gent: Sleepstraat, bouwaanvraag van Liedts, 1738""  ";" "" Bouwheer: Liedts."" "
"""  Gent: Sleepstraat, bouwaanvraag van de Waele, 1744""  ";" "" Bouwheer: de Waele."" "
"""  Gent: Sleepstraat, bouwaanvraag van Jacques Doedens, 1730""  ";" "" Bouwheer: Doedens, Jacques."" "
"""  Gent: Sleepstraat, bouwaanvraag van Pieter de Smet, 1733""  ";" "" Bouwheer: de Smet, Pieter."" "
"""  Gent: Sleepstraat, bouwaanvraag van Catharine Theresia van Coppenolle, 1735""  ";" "" Bouwheer: van Coppenolle, Catharine Theresia."" "
"""  Gent: Sleepstraat, bouwaanvraag van Leo Mahieu, 1729""  ";" "" Bouwheer: Mahieu, Leo."" "
"""  Gent: Sleepstraat, bouwaanvraag van Barbarine Cardon, 1729""  ";" "" Bouwheer: Cardon, Barbarine."" "
"""  Gent: Sleepstraat, bouwaanvraag van Francoyse Grenier, 1724""  ";" "" Bouwheer: Grenier, Francoyse."" "
"""  Gent: Sleepstraat, bouwaanvraag van Isabelle Meere, 1724""  ";" "" Bouwheer: Meere, Isabelle."" "
"""  Gent: Sleepstraat, bouwaanvraag van Francois vander Meersch, 1726""  ";" "" Bouwheer: vander Meersch, Francois."" "
"""  Gent: Sleepstraat, bouwaanvraag van Leo Mahieu, 1719""  ";" "" Bouwheer: Mahieu, Leo."" "
"""  Gent: Sleepstraat, bouwaanvraag van Jacques Doedens, 1719""  ";" "" Bouwheer: Doedens, Jacques."" "
"""  Gent: Sleepstraat, bouwaanvraag van Pieter Mens, 1718""  ";" "" Bouwheer: Mens, Pieter."" "
"""  Gent: Sleepstraat, bouwaanvraag van Jacques Pennekijn, 1718""  ";" "" Bouwheer: Pennekijn, Jacques. OA_535_304_023 en OA_535_304_022_01 vormen samen één dossier."" "
"""  Gent: Sleepstraat, bouwaanvraag van Jan van der Gught, 1714""  ";" "" Bouwheer: van der Gught, Jan."" "
"""  Gent: Sleepstraat, bouwaanvraag van Judocus Moeraert, 1715""  ";" "" Bouwheer: Moeraert, Judocus."" "
"""  Gent: Sleepstraat, bouwaanvraag van Frans van Hulle, 1716""  ";" "" Bouwheer: van Hulle, Frans."" "
"""  Gent: Sleepstraat, bouwaanvraag van Jan Hillaert, 1706""  ";" "" Bouwheer: Hillaert, Jan."" "
"""  Gent: Sleepstraat, bouwaanvraag van Pieter Engels, 1710""  ";" "" Bouwheer: Engels, Pieter."" "
"""  Gent: Sleepstraat, bouwaanvraag van anoniem, 1689""  ";" "" Bouwheer: anoniem."" "
"""  Gent: Sleepstraat, bouwaanvraag van Livinus Bontinck, 1705""  ";" "" Bouwheer: Bontinck, Livinus."" "
"""  Gent: Sluizekensbrug (verdwenen brug over Schipgracht, tussen Oudburg en Sluizeken), bouwaanvraag van Anne Marie Budzeele, 1734""  ";" "" Bouwheer: Budzeele, Anne Marie."" "
"""  Gent: Sluizekensbrug (verdwenen brug over Schipgracht, tussen Oudburg en Sluizeken), bouwaanvraag van vande Casteele, 1749""  ";" "" Bouwheer: vande Casteele."" "
"""  Gent: Sluizekensbrug (verdwenen brug over Schipgracht, tussen Oudburg en Sluizeken), bouwaanvraag van Guillaume Dhooghe, 1755""  ";" "" Bouwheer: Dhooghe, Guillaume."" "
"""  Gent: Sluizeken, bouwaanvraag van Pieter Colpaert, 1792""  ";" "" Bouwheer: Colpaert, Pieter."" "
"""  Gent: Sluizeken, bouwaanvraag van Frans de Poorter, 1794""  ";" "" Bouwheer: de Poorter, Frans."" "
"""  Gent: Sluizeken, bouwaanvraag van Pieter Colpaert, 1792""  ";" "" Bouwheer: Colpaert, Pieter."" "
"""  Gent: Sluizeken, bouwaanvraag van Pieter Colpaert, 1792""  ";" "" Bouwheer: Colpaert, Pieter."" "
