identifier;_event;icon;name_nl;name_en;name_fr;name_de;name_es;description_nl;description_en;description_fr;description_de;description_es;url;created;modified;ctcname;date_start;date_end;location;Lat;address;postal;local;country;Long;geopoint;Theme
3639;http://stad.gent/id/event/tourism/cde79af9-63fa-4ce7-a0f9-7a100f9a59b2;https://visit.gent.be/themes/custom/vg_theme/icon/red/exhibition.svg;Op losse schroeven;Unhinged;Déséquilibre;Aus den Angeln geraten;Sobre tornillos sueltos;Over zenuwpezen, zwartkijkers en zielenknijpers;On Jitterbugs, Melancholics and Mad-Doctors;Névrosés, mélancoliques et psy;Über Nervenbündel, Schwarzmaler und Seelenklempner;Sobre nerviosos, pesimistas y psiquiatras;https://visit.gent.be/nl/agenda/op-losse-schroeven;2019-09-19T09:48:49+02:00;2022-03-09T13:51:29+01:00;Museum Dr. Guislain;2019-10-12;2022-12-31;POINT (3.703215 51.066197;(3.703215;Jozef Guislainstraat 43;9000;Gent;BE;POINT;;Art Exhibition
3748;http://stad.gent/id/event/tourism/a5e3c7d8-ac61-4060-b3e5-2e13251c0437;https://visit.gent.be/themes/custom/vg_theme/icon/red/event.svg;Lam Gods / Lam Gents;The Ghent Altarpiece Tour;;;;Een interactieve stadswandeling die focust op het Lam Gods;An interactive city tour about the Ghent Altarpiece;;;;https://visit.gent.be/nl/agenda/lam-gods-lam-gents;2020-01-20T14:51:57+01:00;2021-03-16T14:37:44+01:00;Guide for Ghent;2020-01-01;2025-12-30;POINT (3.740276 51.056227;(3.740276;www.guide-for-ghent.com;9000;Gent;BE;POINT;;City Tour
3748;http://stad.gent/id/event/tourism/a5e3c7d8-ac61-4060-b3e5-2e13251c0437;https://visit.gent.be/themes/custom/vg_theme/icon/red/event.svg;Lam Gods / Lam Gents;The Ghent Altarpiece Tour;;;;Een interactieve stadswandeling die focust op het Lam Gods;An interactive city tour about the Ghent Altarpiece;;;;https://visit.gent.be/nl/agenda/lam-gods-lam-gents;2020-01-20T14:51:57+01:00;2021-03-16T14:37:44+01:00;Guide for Ghent;2020-01-01;2025-12-30;POINT (3.731844 51.065785;(3.731844;www.guide-for-ghent.com;9000;Gent;BE;POINT;;City Tour
3748;http://stad.gent/id/event/tourism/a5e3c7d8-ac61-4060-b3e5-2e13251c0437;https://visit.gent.be/themes/custom/vg_theme/icon/red/event.svg;Lam Gods / Lam Gents;The Ghent Altarpiece Tour;;;;Een interactieve stadswandeling die focust op het Lam Gods;An interactive city tour about the Ghent Altarpiece;;;;https://visit.gent.be/nl/agenda/lam-gods-lam-gents;2020-01-20T14:51:57+01:00;2021-03-16T14:37:44+01:00;Guide for Ghent;2020-01-01;2025-12-30;POINT (3.7236884752855 51.050158042152;(3.7236884752855;www.guide-for-ghent.com;9000;Gent;BE;POINT;;City Tour
3748;http://stad.gent/id/event/tourism/a5e3c7d8-ac61-4060-b3e5-2e13251c0437;https://visit.gent.be/themes/custom/vg_theme/icon/red/event.svg;Lam Gods / Lam Gents;The Ghent Altarpiece Tour;;;;Een interactieve stadswandeling die focust op het Lam Gods;An interactive city tour about the Ghent Altarpiece;;;;https://visit.gent.be/nl/agenda/lam-gods-lam-gents;2020-01-20T14:51:57+01:00;2021-03-16T14:37:44+01:00;Guide for Ghent;2020-01-01;2025-12-30;POINT (3.7255290801659 51.043963641634;(3.7255290801659;www.guide-for-ghent.com;9000;Gent;BE;POINT;;City Tour
3748;http://stad.gent/id/event/tourism/a5e3c7d8-ac61-4060-b3e5-2e13251c0437;https://visit.gent.be/themes/custom/vg_theme/icon/red/event.svg;Lam Gods / Lam Gents;The Ghent Altarpiece Tour;;;;Een interactieve stadswandeling die focust op het Lam Gods;An interactive city tour about the Ghent Altarpiece;;;;https://visit.gent.be/nl/agenda/lam-gods-lam-gents;2020-01-20T14:51:57+01:00;2021-03-16T14:37:44+01:00;Guide for Ghent;2020-01-01;2025-12-30;POINT (3.7233262978244 51.057382956893;(3.7233262978244;www.guide-for-ghent.com;9000;Gent;BE;POINT;;City Tour
3748;http://stad.gent/id/event/tourism/a5e3c7d8-ac61-4060-b3e5-2e13251c0437;https://visit.gent.be/themes/custom/vg_theme/icon/red/event.svg;Lam Gods / Lam Gents;The Ghent Altarpiece Tour;;;;Een interactieve stadswandeling die focust op het Lam Gods;An interactive city tour about the Ghent Altarpiece;;;;https://visit.gent.be/nl/agenda/lam-gods-lam-gents;2020-01-20T14:51:57+01:00;2021-03-16T14:37:44+01:00;Guide for Ghent;2020-01-01;2025-12-30;POINT (3.759803 51.06036;(3.759803;www.guide-for-ghent.com;9000;Gent;BE;POINT;;City Tour
3748;http://stad.gent/id/event/tourism/a5e3c7d8-ac61-4060-b3e5-2e13251c0437;https://visit.gent.be/themes/custom/vg_theme/icon/red/event.svg;Lam Gods / Lam Gents;The Ghent Altarpiece Tour;;;;Een interactieve stadswandeling die focust op het Lam Gods;An interactive city tour about the Ghent Altarpiece;;;;https://visit.gent.be/nl/agenda/lam-gods-lam-gents;2020-01-20T14:51:57+01:00;2021-03-16T14:37:44+01:00;Guide for Ghent;2020-01-01;2025-12-30;POINT (3.726596 51.054178;(3.726596;www.guide-for-ghent.com;9000;Gent;BE;POINT;;City Tour
3748;http://stad.gent/id/event/tourism/a5e3c7d8-ac61-4060-b3e5-2e13251c0437;https://visit.gent.be/themes/custom/vg_theme/icon/red/event.svg;Lam Gods / Lam Gents;The Ghent Altarpiece Tour;;;;Een interactieve stadswandeling die focust op het Lam Gods;An interactive city tour about the Ghent Altarpiece;;;;https://visit.gent.be/nl/agenda/lam-gods-lam-gents;2020-01-20T14:51:57+01:00;2021-03-16T14:37:44+01:00;Guide for Ghent;2020-01-01;2025-12-30;POINT (3.721641 51.053708;(3.721641;www.guide-for-ghent.com;9000;Gent;BE;POINT;;City Tour
3748;http://stad.gent/id/event/tourism/a5e3c7d8-ac61-4060-b3e5-2e13251c0437;https://visit.gent.be/themes/custom/vg_theme/icon/red/event.svg;Lam Gods / Lam Gents;The Ghent Altarpiece Tour;;;;Een interactieve stadswandeling die focust op het Lam Gods;An interactive city tour about the Ghent Altarpiece;;;;https://visit.gent.be/nl/agenda/lam-gods-lam-gents;2020-01-20T14:51:57+01:00;2021-03-16T14:37:44+01:00;Guide for Ghent;2020-01-01;2025-12-30;POINT (3.721838 51.055988;(3.721838;www.guide-for-ghent.com;9000;Gent;BE;POINT;;City Tour
3748;http://stad.gent/id/event/tourism/a5e3c7d8-ac61-4060-b3e5-2e13251c0437;https://visit.gent.be/themes/custom/vg_theme/icon/red/event.svg;Lam Gods / Lam Gents;The Ghent Altarpiece Tour;;;;Een interactieve stadswandeling die focust op het Lam Gods;An interactive city tour about the Ghent Altarpiece;;;;https://visit.gent.be/nl/agenda/lam-gods-lam-gents;2020-01-20T14:51:57+01:00;2021-03-16T14:37:44+01:00;Guide for Ghent;2020-01-01;2025-12-30;POINT (3.721831 51.05458;(3.721831;www.guide-for-ghent.com;9000;Gent;BE;POINT;;City Tour
